,index,Emotion,Statement
156,3092,fear,"I was playing with friends then I decided to splash some sand  _x000D_
into a car which was moving nearby. The driver got angry and came  _x000D_
to report to my parents."
165,4854,joy,"When I saw that I had passed the university entrance exam.  It  _x000D_
made me forget all my problems."
168,4678,joy,When I was admitted to the University.
172,4515,joy,"Unexpectedly I met some persons who I like very much.  _x000D_
Spontaneously they invited me and integrated me within their  _x000D_
group, although it was late in the evening."
175,2424,fear,"Taking a trip to crocokile country I fell out of the boat and was  _x000D_
motivated by fear of being eaten to perform great swimming feats."
180,2706,fear,"When I slipped on a glazed frost road and a car almost ran into  _x000D_
me."
181,4433,joy,"I was in a dancing-tavern and the atmosphere was one of waiting  _x000D_
for the end of the world.  Suddenly people began dancing wildly,  _x000D_
inspired by the band.  An unbelievable experience : wonderful  _x000D_
that even Finns sometimes flare up and forget to think ""what  _x000D_
others are thinking of me"".  It was delightful to dance to one's  _x000D_
heart content."
188,4468,joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I  _x000D_
was not thinking about anything, I felt an overwhelming joy."
190,3152,fear,"Suddenly found out that I was the lasr one to leave the anatomy  _x000D_
room."
191,3112,fear,Telling my parents that I did not well in an examn.
196,5028,joy,"When I was offered a place in the university as a full time  _x000D_
student."
198,4602,joy,"When I met a girl and asked her for a date and she agreed, (I  _x000D_
thought this girl would never like me), this was an emotion of  _x000D_
joy."
200,4412,joy,"When I got home from my job, I found a letter from the university  _x000D_
telling me that I had been admitted to begin my studies."
203,5078,joy,I went home and visited with my family and friends.
204,4712,joy,"I feel joy usually after each taken exam, the last one was in  _x000D_
February."
205,5190,joy,"It was when I was allowed to take my wife away from her parents  _x000D_
after being refused for three times on grounds that she should  _x000D_
first write her examination."
211,5236,joy,"The time when my sister had her first baby I was so happy and  _x000D_
joyous because she stayed for two days after marriage before she  _x000D_
had a child."
214,4925,joy,"When I hooked a girl in Kitwe.  She was very beautiful for my  _x000D_
standards, a rare bird of this kind accepted me as a boyfriend."
218,2738,fear,"When I was attending an authorized demonstrationand the police  _x000D_
rushed brutally at the demonstrators, without any warning."
219,5087,joy,"Football was a very big deal at my high school, so I was joyous  _x000D_
when my school's team won the conference championship last year."
223,4296,joy,"I was told quite unexpectedly that one wanted me to become the  _x000D_
vice-chairman of our student organisation.  I was really  _x000D_
surprised and joy was the first emotion I felt, though behind it  _x000D_
there was worry - how shall I succeed ?"
225,2927,fear,"I was driving and stopped at a stop light. I was planning to make  _x000D_
a right turn as soon as it was clear. It was clear on the left so  _x000D_
I started but a man was just in front of the car."
226,2920,fear,"When I was watching a movie in which there was a pit full of  _x000D_
dangers and there was only a small safe place on which a man was  _x000D_
standing; he had to catch the lady who was thrown in or else !  _x000D_
The pit was 20 feet deep."
228,4439,joy,"After having at last finished my master's thesis, I felt great  _x000D_
joy and relief.  I had been haunted by the thesis during the  _x000D_
whole of my studies."
229,4581,joy,"Receiving a very personal letter from a lady that I like, which  _x000D_
revealed that she was more enthusiastic about me than I had  _x000D_
thought possible."
233,4938,joy,"I was at school whhen I received a letter from the dean of my  _x000D_
school congratulating me for my performance at the previous  _x000D_
year's exam. "
236,3204,fear,"I found a problem in homework which would not get solved although  _x000D_
I tried my best."
241,5010,joy,"I met my friend and he gave me a wonderful present as it was my  _x000D_
birthday.  I enjoyed having that present."
249,2704,fear,"When I slept for the first time all alone in the house where I  _x000D_
live now. A man phoned me at 2.00 am. He wanted something from  _x000D_
me. I was afraid."
256,4464,joy,My boyfriend returned after a long absence.
261,2925,fear,"A man in a car was following me when I went running early one  _x000D_
morning in a fairly secluded area."
263,5154,joy,"I was emotionally happy when I was in love with the girl I had  _x000D_
longed for."
268,2999,fear,"Once when I was walking alone at mid-night, I happened to put my  _x000D_
foot on a frog, as it felt smooth I thought that it was a snake   _x000D_
and I felt afraid.  _x000D_
 _x000D_
"
271,5152,joy,"When my brother was selected to the University of Malawi (the  _x000D_
Polythecnic). I was very excited and I rejoiced due to one of our  _x000D_
family members qualifying for University level at long last."
276,3001,fear,"I felt afraid just before receiving the question paper of the  _x000D_
part II exam."
280,5142,joy,When I got my B.Sc degree with first class.
283,4446,joy,"I went to see the entrance examination results at university.  I  _x000D_
rejoyced at my success."
284,4814,joy,When I got my drivers licence.
285,4859,joy,When I passed an exam which I had failed last year.
290,4482,joy,"I have a boyfriend and I am very fond of him. When we had our  _x000D_
""11-months jubilee"", I had forgotten it. But he gave me a red  _x000D_
rose."
291,4719,joy,"Being invited out by a person I wished to get closer to. He  _x000D_
telephoned and invited me to go out with him the next night."
292,4475,joy,After 3 weeks I saw my girlfriend again.
299,4271,joy,"On days when I feel close to my partner and other friends.   _x000D_
When I feel at peace with myself and also experience a close  _x000D_
contact with people whom I regard greatly."
301,3031,fear,"I was very scared when I went to the examination hall for my M.Sc  _x000D_
examination as I had studied a limited partion of the course  _x000D_
thoroughly and I was in great doubt whether that would be asked."
307,2727,fear,"When I was ten I got shut in the school with a friend.  I had to  _x000D_
jump out of a window and cross a beam 10 metres high."
310,5101,joy,"When I finished my C.S. Project I was overjoyed. I felt relieved  _x000D_
because it was due the next day and I was tired of looking at it."
313,5238,joy,"I received money from my father at a time when I was completely  _x000D_
broken."
314,4566,joy,"When I saw my brother in Church, and publically accept Jesus  _x000D_
Christ as his saviour and Lord."
317,4693,joy,My son was born.
320,2610,fear,"Riding through a bush fire on an island of Australia - on a  _x000D_
pushbike as a little boy - all alone, lost and surrounded by  _x000D_
smouldering wood and flame."
323,2873,fear,"The day my parents were involved in a car accident and had to be  _x000D_
operated  and before the operation the doctor said that it was  _x000D_
mater of life or death."
324,5336,joy,"I remember my religious experience.  During  a gospel camp, a few  _x000D_
friends of mine decided to believe in God.  The joy that I felt  _x000D_
at that time was more than words can express.  I blessed them and  _x000D_
praised God in my heart."
325,5038,joy,When I passed my B.A exams.
326,4821,joy,When a friend of me came for an unexpected visit.
328,2688,fear,"During a football game I made an offence towards an acquaintance.  _x000D_
Later on this acquaintance also tackeled me and the game became  _x000D_
very rude."
331,4794,joy,"When a friend of mine had her period, while thinking she was  _x000D_
pregnant."
335,5088,joy,"I took a math midterm and I knew I did really well and it was  _x000D_
Friday so I felt great joy because the week was over and I did  _x000D_
well on a test."
345,2314,fear,"Traveling as the only female in a railway carriage in the middle  _x000D_
of the night in Italy."
351,2807,fear,"One evening I saw the old guard-man I knew, change into something  _x000D_
inhuman for about 5-10 seconds, this really frightened me."
354,2275,fear,[ I was thinking about death.]
360,2504,fear,"I should have given a test lesson to get a job. I had no courage.  _x000D_
I didn't make the test."
364,4941,joy,When I passed my form three exams.
370,4289,joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  _x000D_
steps outside her parents home and I kissed her for the  _x000D_
first time."
377,4274,joy,Passing an exam I did not expect to pass.
382,4474,joy,"When I was informed that a short story I had written had been  _x000D_
accepted for publication."
384,2638,fear,Mugged while on holiday in the U.S.A.
390,4493,joy,"When I get something that seemed very hard like getting a job, a  _x000D_
boyfriend, etc. A specific sutuations, was when I started to date  _x000D_
a boy whom I liked for a long time."
394,5025,joy,"When I heard the examination results and when I recovered after  _x000D_
having been sick for a week."
396,4297,joy,"Last night I had a chat with a fellow student.  I had known her  _x000D_
for about half a year, and for the first time we were speaking  _x000D_
""the same language""- meaning an inspiring discussion and  _x000D_
encounter."
397,5222,joy,A boy I had been admiring so much asked me to go out with him.
398,3166,fear,I was afraid that I would fail an examination.
399,2877,fear,"I was river rafting in Nev. and our boat tipped over and I was  _x000D_
sucked under in to some rocks and got stuck and all I could think  _x000D_
was that I was going to die. And it was so quiet under the water  _x000D_
it seemed like no one would care or remember."
402,4716,joy,"Naturally when I got myself discharged this was my second  _x000D_
birthday."
403,4728,joy,"Joy for me is when all my family gather around home for special  _x000D_
occasions as Christmas etc. It really gives me joy to see my  _x000D_
family and relatives and to observe natures productivity process  _x000D_
which have been going on for centuries."
405,4715,joy,"I was for the first time on a brigade this year. At that time my  _x000D_
sister was to bear a child. I was mad with joy when I opened the  _x000D_
telegram from my parents and learned I had a nephew."
416,5272,joy,Falling in love.
418,2693,fear,"One night I had to bike home all alone after a party. Then I  _x000D_
found out that I was pursued by a man in a car."
421,5289,joy,My boat running into another boat.
428,2899,fear,"While drinking a soft drink, I had the impression of swallowing    _x000D_
a piece of glass so I went to the district hospital and got  _x000D_
admitted there."
435,5197,joy,"I felt happy when I saw my brother at the bus depot after 3  _x000D_
months without seing each other."
437,2182,fear,"I was going home by car late one night when it was cold, dark and  _x000D_
windy.  I became rather panicky on the way to my house."
440,4448,joy,When I made the acquaintance of a certain person.
447,4732,joy,"When my lover and I felt like we had gone full circle. And our  _x000D_
relationship was new, fresh, vital etc. once again."
450,4434,joy,"The inflammation of the ear of my child got cured and the doctor  _x000D_
said that the ear was completely all right."
456,2198,fear,"I was alone in a cottage I often stay in.  I was woken up by a  _x000D_
rustling sound in the middle of the night."
458,2639,fear,Canoeing across harbour in winds - 20 knots and rising seas.
469,2981,fear,"That day I was alone at home after coming home from school.  I did  _x000D_
not know where everyone else had gone, I kept waiting for them to  _x000D_
come back and nobody came.  It was getting very late and I was  _x000D_
terrified."
470,5330,joy,"I realized that a fellow member had grown spiritually.  I was the  _x000D_
leader of a spiritual group and had prayed for him.  He did not  _x000D_
want to burn the incense but his mother forced him to do it.   _x000D_
Finally his mother told him that he could discontinue if he got  _x000D_
good results at school."
475,2540,fear,"While tramping on a narrow path two of us were confronted by a  _x000D_
woman with two snarling dogs, demanding we get off the property -  _x000D_
via a flooded river !"
479,2534,fear,I felt it when I sat for my exam in anatomy.
480,4840,joy,"One night I had a very good conversation with two friends. I then  _x000D_
realized how worthy they were for me and how happy I was to  _x000D_
have them as friends."
487,4754,joy,"Meeting best friend at the airport (boyfriend) who I had missed  _x000D_
terribly."
489,3045,fear,"In March I was busy studying during the night I could only sleep  _x000D_
two or three hours only for fear that I would be weeded and sent  _x000D_
back."
491,3002,fear,"Fear is an emotion that I experience very often.  Naturally this  _x000D_
is during exams and subsequently while waiting for the results.   _x000D_
However there is one occassion when I was paralyzed with fear.   _x000D_
This was when I was doing my M.A.-I, and we had a series of student  _x000D_
lectures.  I was one of the participants and my lecture happened  _x000D_
to be the opening lecture.  I had been confident all morning, about  _x000D_
twenty minutes before the lecture, my confidence started failing  _x000D_
me.  I felt my heart go cold, my lips go dry and I was really  _x000D_
paralyzed.  This incident of fear is still fresh."
496,4565,joy,"When my present boyfriend asked me initially to go out with him I  _x000D_
had waited a long time for this to occur."
498,5049,joy,"During the summer I received grade cards from my TA's. I expected  _x000D_
a B no better in Computer Science. I looked at the card - I got an  _x000D_
A - I was ecstatic."
504,4281,joy,When I won a trip to Greece in a competition.
509,2603,fear,Had fear of losing husband.
517,4810,joy,When I passed a very important exam.
518,4523,joy,"When I heard that a good friend, who had been abroad for a long  _x000D_
time, would come and see me."
522,2226,fear,When my brother was very late in arriving home from work.
525,2818,fear,"The shooting started and we all lay down to protect ourselves  _x000D_
from the flying bullets.  This incident occured on our way to  _x000D_
Feira, during the Zambia army patrols in the Rhodesia war."
527,4717,joy,"I felt the greatest burst of joy when after being heavily ill for  _x000D_
a long period, my father came back home."
530,4408,joy,"When I unexpectedly received birthday greetings from a person I  _x000D_
like."
535,2574,fear,"Two years ago I saw a film on the TV. Even now it makes me  _x000D_
afraid."
536,4983,joy,When my wife gave birth to a baby boy - my only son to date.
540,4488,joy,"When my mother was tremendous on the phone and we talked for  _x000D_
hours. She was in a good mood."
545,5003,joy,"Right before I went to a concert with my last boyfriend he told  _x000D_
me that although he told me he was going to take me to the  _x000D_
concert, he didn't want to see me anymore. After that we stayed  _x000D_
overnight and I said ""well, when he leaves me I will be ruined  _x000D_
for awhile, but for now we're together."" I woke up in his arms  _x000D_
and it was the happiest moment of my life."
549,3143,fear,"My roommate refused to walk with me to the English lectures. I  _x000D_
have to walk alone in the dark. Lectures are in the biology  _x000D_
building."
550,4403,joy,While dancing in a restaurant last week.
551,3164,fear,"I am afraid of my academic results as I will face several  _x000D_
problems.  I am scared of my limitations and the unlimited  _x000D_
problems and I do not know how to cope with them."
554,3140,fear,"I asked someone to bring some present to my father and found out  _x000D_
that he is not a reliable person. I was afraid if my father would  _x000D_
not get the presents he would be angry with me."
560,2712,fear,"I was testing my new roller skates in the street, suddenly a dog  _x000D_
ran barking in my direction, very threatening. I was very  _x000D_
startled and terribly upset."
564,4943,joy,"When I heard that a close relative of mine had given birth at a  _x000D_
very young age, in a very remote area and had had very few problems."
567,5266,joy,Aticle published.
569,5300,joy,Getting into this university to do medicine.
571,2159,fear,"When I drove to Stockholm for the first time and drove off the  _x000D_
Stora Hissingen road at the wrong exit."
576,2451,fear,I was bitten by a dog.
578,4429,joy,"Begining the week-end with my girlfriend : cozyness, beer and  _x000D_
wine."
589,5205,joy,Passing a very difficult examination which I didn't expect - MCE.
593,4713,joy,When I was admitted to the Higher Institute.
595,2703,fear,"I was raped once when I went through a dark alley at the back of  _x000D_
our house. The man pushed me in the bushes. I fought back and  _x000D_
succeeded to escape."
598,4330,joy,"When I was at the end-of-term party last week and had fun - was  _x000D_
happy and sang and drank only soft drinks.  It is possible to  _x000D_
have a good time without alcohol."
600,4686,joy,Bulgaria won a football match against France.
601,2643,fear,"Thinking that I had been seen smoking at school by a teacher -  _x000D_
waiting to be summoned to the headmaster's office."
605,2345,fear,"On my way through lonely streets I met with a huge stray dog. It  _x000D_
stopped at some distance and looked at me. I tried to ignore it  _x000D_
but I was very frightened."
614,2304,fear,"I am a kindergarten teacher and I am thoroughly weary of my job.   _x000D_
After having taken the university entrance exam I suffered from  _x000D_
anxiety for weeks as I did not want to carry on with my work - studies  _x000D_
were the only alternative. "
615,4455,joy,"When, after a long time, I saw a girl with whom I was in love."
621,5237,joy,"I felt joyful when I heard that I had been selected for College  _x000D_
education."
623,5235,joy,"After passing my Malawi Certificate of Education Exam and being  _x000D_
selected to Kamuzu College of Nursing."
627,3218,fear,"My parents were out and I was the eldest at home.  At midnight a  _x000D_
male stranger phoned us and spoke to me in a rough language.  I  _x000D_
hung up and heard someone walking outside our door."
629,2571,fear,"Few days ago I really experienced fear. It was connected with  _x000D_
unexpected actions on the part of a group of people. This evoked  _x000D_
in me many negative emotions."
631,2821,fear,When I heard a lion roar for the first time.
638,2248,fear,"When I almost ran over a small boy who suddenly was in front of  _x000D_
my car."
639,5062,joy,My last genetices midterm - a decent grade.
650,4760,joy,"Winning a race that I had been training for, for many weeks.  _x000D_
(Running Race)."
653,4740,joy,Won a prize for effort.
658,4543,joy,"When my boyfriend last told me he loved me after I gave him an  _x000D_
impulsive kiss."
661,2724,fear,"Before an exam which I, finally did not take."
663,4738,joy,"Hearing that I had been successful in getting a position whereby  _x000D_
my financial, physical, spiritual and emotional needs will be  _x000D_
well catered for. This position fulfils a lot of my aims for the  _x000D_
last five years of my life."
676,2717,fear,"When my mother threatened me with thrushing me of the stairs, when  _x000D_
I once more should make a comment."
678,4722,joy,"When I meet old past pupils of mine - and find they are all doing  _x000D_
well - I feel joy. Yesterday I met a young woman (20 yrs) I'd  _x000D_
taught her at 6 yrs, then at 12 yrs and hadn't seen her for last  _x000D_
3-4 yrs; she was no longer a waitress but a meter maid for  _x000D_
Council."
679,5018,joy,"When my girl and I decided to get back together after our  _x000D_
separation."
684,4708,joy,"I sensed a strong feeling of joy when in the plant, at my working  _x000D_
place, I got a message that I was admitted as full time student at  _x000D_
the Higher Agricultural Institute."
685,2162,fear,"When I found out that my father had lung cancer and they did not  _x000D_
know how long he would live."
687,2823,fear,"I was walking through a thick forest and there was a big snake at  _x000D_
a distance of about four metres."
691,2906,fear,"The first time that I saw a dead person.  This was when I started  _x000D_
my gross anatomy practicals."
692,3160,fear,Suddenly met someone in the biology building at night.
693,2858,fear,Whhen the front tyre of the car burst.
696,5001,joy,Our basketball team is undefeated in league play (4-0) currently.
699,2924,fear,"After my shoulder operation, I woke up in the hospital room  _x000D_
alone. I was in pain and was still under heavy medications. I  _x000D_
could not find my parents."
701,5045,joy,Watching the Asian Olympic game (China winning).
705,2244,fear,"My father has a chronic desease. In the autumn of 1983 he had a  _x000D_
very strong fit or seizure."
707,2915,fear,Being threatened by another person.
708,2597,fear,"When my mother entered surgery for a quadruple heart bypass. I  _x000D_
felt intense fear at the time she was actually wheeled away."
709,2682,fear,"A close relative of mine died in a serious car accident.  I was  _x000D_
one of the first two people to see the corpse and I had to do it.  _x000D_
 Before going in to see it I was afraid as it was the first time  _x000D_
that I was seeing a corpse."
714,4385,joy,"Having passed the exam required to be an authorized Radio/TV  _x000D_
dealer."
721,4908,joy,"One evening, I was with a group of friends having a talk.  There  _x000D_
was a very trustful and joyful atmosphere."
723,2683,fear,"Before one of my final exams of the third year - natural  _x000D_
sciences."
727,2462,fear,"When going for my driver's licence for the third time, because  _x000D_
everything, it seemed, hinged on getting it. I was really nervous,  _x000D_
and the testing Officer made me a little afraid as well. There  _x000D_
were lots of things to worry about. I passed however."
728,2735,fear,"Fights that I see in the middle of the street, robberies, fear of  _x000D_
darkness when going home."
731,4621,joy,I felt joy when I entered at the University.
734,4497,joy,"I had a little cat which was very sick. As I liked it very much I  _x000D_
went to a veterinary with it. He told me how to tend it and it  _x000D_
really recovered its health. Everybody said that I had saved its  _x000D_
life."
735,4288,joy,"When I gave birth to my son and saw that he was alive and that I  _x000D_
had managed it well.  He was born a month too early with a  _x000D_
malfunctioning lung.  This happened a year ago."
738,2279,fear,"At the dentist's, waiting for my turn to come."
741,5283,joy,Doing anatomy alone for the first time.
748,4846,joy,"A few days ago, I hitch-hiked to Arnhems with a friend.  _x000D_
Everything went well: they picked us up very quickly, the sun was  _x000D_
shining, I was feeling free and, for the first time after long  _x000D_
time, happy. I really had the feeling that I was living at full  _x000D_
speed."
749,5263,joy,Watching TV about china is behind in winning gold medals.
751,2492,fear,"Passing (by car) over a bridge where only one car could pass. There  _x000D_
was a precipice on both sides, no protection grilles, and the  _x000D_
bridge was completely muddled."
752,2254,fear,"I was beaten up at a private New Year's party once, through no  _x000D_
fault of mine."
754,2783,fear,"One night, I was alone at home.  My fear was caused by some  _x000D_
strange noises which put my imagination to work."
758,2412,fear,"When I heard that there had been some women raped at uni, just  _x000D_
near where I usually park my car and walk by myself at night.  _x000D_
Although I wasn't in danger it unnerved me for days and I was  _x000D_
fearful whenever walking through the area."
764,4875,joy,The begining of my relations with my current girlfriend.
767,2411,fear,"I was a passenger in a jumbo-jet which was accelerating down the  _x000D_
runway and almost at the point of take-off, when the pilot  _x000D_
suddenly braked and put the engines into reverse thrust, in an  _x000D_
obviously urgent attempt to stop the aircraft. The hostesses show  _x000D_
signs of concern and my first thought was that something was on  _x000D_
the runway in our path and that we were in danger of hitting it."
769,4956,joy,"My son was registered to get admission in grade one of the          _x000D_
primary school.  The chances of him getting a place there was 1/10.   _x000D_
Two weeks later I was informed that he had been enrolled."
772,4892,joy,"When I fell crazily in love with a beautiful girl and she returned  _x000D_
my love."
779,2555,fear,When I broke my leg I felt fear.
780,3081,fear,"I and my cousin went to a filmshow at night. We went without  _x000D_
making it known to my mother. While we were there at interval, I  _x000D_
came across my mother just close to where we sat."
783,5297,joy,Having a good trip on a boat with good friends.
785,2238,fear,"Motor failure on a boat outside Gottenburg when we were in heavy   _x000D_
seas and the wind was strong.  As we could not steer the boat we  _x000D_
drifted towards the rocks.  We did not succeed in attracting the  _x000D_
attention of any passerby until 4 hours had elapsed."
796,4817,joy,"When an old schoolfriend phoned me to arrange an appointment to  _x000D_
talk about old memories. I hadn't seen him for 8 years."
800,4837,joy,"I felt joyful when my boyfriend met me at the station, while at  _x000D_
first he had said that he would not do that."
804,4359,joy,"When I was accepted as a student of Psychology here at  _x000D_
Gutttenburg."
810,2490,fear,"I was sitting on the bus coming back from school. A man from  _x000D_
nearly forty years sat beside me. After a while I looked at him  _x000D_
and saw that he was looking at me with opened throusers and  _x000D_
holding his penis."
813,4325,joy,"When I was appointed to position of trust in a group set up to  _x000D_
change the working environment."
817,4815,joy,"Every year during carnival I am very joyful I have an intense  _x000D_
feeling of happiness then."
818,5290,joy,Receiving a nice present from my parents.
819,2458,fear,"Before Uni started, I had to leave home and take up residence in  _x000D_
Brisbane (the ""big smoke"") leaving home, my family, and moving to  _x000D_
such a big place was quite intimidating at first, and I was  _x000D_
anxious about it."
826,2351,fear,"One evening, in the tramway, I was afraid of two drunk men  _x000D_
molesting my girlfriend and me."
828,3102,fear,"I was afraid when I met my Uncle because this time I was with my  _x000D_
boyfriend I thought I was not going to be given pocket money."
831,2500,fear,"One day I was near home, kissing my boyfriend in a car when my  _x000D_
mother appeared and asked me to go home, because she didn't know  _x000D_
about the event."
843,2838,fear,"When I was confronted by a policeman one night around 11 o'clock.  _x000D_
 I was afraid when they threatened to take me and my girl to the  _x000D_
gallows."
844,4614,joy,When I got a small present form a person I like very much.
846,2718,fear,"My friend and I planned to search for old documents and utensils  _x000D_
in the cellar. It was very late at night when we arrived in the  _x000D_
cellar. He indicated the place where the police (40 years ago) found  _x000D_
two dead bodies. I got very scared when he told me this story."
849,4460,joy,I passed an exam which I thought I had failed.
854,4557,joy,"Eating biscuits and drinking Milo (Chocolate energy drink made  _x000D_
with milk and usually drunk warm) with my friend at College. We  _x000D_
get on really well, don't withold any feelings about each other's  _x000D_
friends and are pretty good at cheering each other up when we are  _x000D_
homesick."
856,2249,fear,"After having watched a crime show on the TV, I was about to take  _x000D_
the dog for a walk. Then, suddenly, there was a man on the  _x000D_
porch... (We live some distance away from other people)."
861,4887,joy,When I knew the feelings of a beloved person.
864,2464,fear,"One night I and my friends went to the cemetery. We stopped the  _x000D_
car in front of the wall and suddenly the grave digger appeared  _x000D_
over the wall looking like a ghost. I was already afraid and  _x000D_
almost died."
865,2354,fear,"After a short stay in Marocco we missed the ferry-boat back to  _x000D_
Spain and we had to look for an accomodation. By chance we met a  _x000D_
man who offered to take us to a camping site. While I was sitting in his  _x000D_
car I was terribly afraid because I had heard of people being  _x000D_
robbed in Marocco."
867,5006,joy,"When I passed the B.A exams and my parents allowed me to carry on  _x000D_
my studies and do a M.A. , I was very happy."
871,5037,joy,When I got engaged to a boy of my choice.
873,5130,joy,"When the results of the part I exams came out I felt tremendous  _x000D_
joy in my heart.  The results came out after a long period of  _x000D_
worry and anxiety, so it gave me endless relief and joy."
877,2941,fear,"One summer when I was camping with friends they devised and  _x000D_
elaborate plan to scare me by having our camp attecked by a wild  _x000D_
animal (one of them) and then convincing the campground was  _x000D_
the home of a satanic organization."
879,4934,joy,"I felt joy when I came to know Christ.  That is when I became a  _x000D_
Christian."
885,2443,fear,Every time I see a spider or a snake.
891,4654,joy,"I was happy when at difficult times I could find support in my  _x000D_
friend and my fiancT, I was happy because of their spiritual and  _x000D_
moral help which gave me new power to struggle. I was happy then,  _x000D_
I felt it in my soul."
893,4305,joy,When my girlfriend became pregnant.
895,4910,joy,"I was going to my village, after having been rather oppressed in  _x000D_
Madrid. "
